feature_id,name,ranks,folds_in_top100,sol_selected,gemma_selected,sol_concept,sol_decision,gemma_concept,gemma_decision
outer_001_feature_301,serum_sodium,"[None, None, None, 88, None]",1,False,False,Glucose and serum electrolytes,uncertain,General Vitals and Metabolites,exclude
outer_001_feature_303,skeletal_compression_fracture,"[17, None, 51, 33, None]",3,False,True,Bone pain and skeletal complications,uncertain,Skeletal Compression Burden,retain
outer_001_feature_309,subdural_hemorrhage,"[None, None, 21, 37, None]",2,False,False,Intracranial hemorrhage and extra-axial collections,uncertain,Intracranial Hemorrhage Burden,retain
outer_001_feature_311,surgical_margin_status,"[72, 33, None, 71, None]",3,False,False,Prior surgery and resection details,uncertain,Treatment History Miscellaneous,exclude
outer_001_feature_312,surgical_procedure,"[45, 96, None, 39, 39]",4,False,False,Prior surgery and resection details,uncertain,Treatment History Miscellaneous,exclude
outer_001_feature_313,systolic_blood_pressure,"[None, None, 47, None, None]",1,False,False,"Cardiovascular disease, medicines, and blood pressure",exclude,General Vitals and Metabolites,exclude
outer_001_feature_314,t_stage,"[None, 58, None, None, None]",1,False,False,Overall stage and distribution of metastases,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_315,targeted_therapy_use,"[83, None, None, 58, 34]",3,False,True,Prior targeted therapy,exclude,Targeted Therapy Exposure,retain
outer_001_feature_319,tissue_thickening,"[81, None, None, 62, None]",2,False,False,Other physical and local findings,exclude,Histologic and Pathology Features,exclude
outer_001_feature_320,tki_therapy_use,"[None, None, 40, None, 99]",2,False,False,Prior targeted therapy,exclude,Targeted Therapy Exposure,retain
outer_001_feature_321,tobacco_smoking_history,"[None, None, 53, 98, None]",2,False,False,Demographics and social exposures,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_322,total_bilirubin,"[43, None, None, None, None]",1,False,False,Liver-related laboratory measurements,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_324,tp53_r273h_mutation_status,"[23, 54, 20, 51, None]",4,False,False,TP53 R273H mutation,exclude,Genomic and Molecular Profile,exclude
outer_001_feature_329,treatment_response,"[None, 69, None, None, None]",1,False,False,Disease response and recurrence records,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_330,ttf1_expression,"[48, 2, 8, 9, 38]",5,True,True,Tumor histology and lineage staining,retain,Lung Adenocarcinoma Marker,retain
outer_001_feature_332,tumor_differentiation,"[None, None, None, 26, None]",1,False,False,Tumor differentiation and WHO grade,exclude,Histologic and Pathology Features,exclude
outer_001_feature_334,tumor_mutational_burden,"[15, 15, None, 85, 100]",4,False,False,MSI and tumor mutational burden,exclude,Tumor Mutational Burden,uncertain
outer_001_feature_336,unintended_weight_change,"[58, None, None, None, None]",1,False,False,Nutrition and body mass,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_337,variant_allele_frequency,"[35, None, None, None, 89]",2,False,False,KRAS G12C variant allele frequency,retain,Genomic and Molecular Profile,exclude
outer_001_feature_338,vasogenic_edema_presence,"[47, 18, None, 35, 22]",4,False,False,Intracranial lesion burden and associated edema,uncertain,Neuroimaging Characteristics,exclude
outer_001_feature_340,ventricular_hemorrhage,"[87, 30, 4, 73, 12]",5,False,False,Intracranial hemorrhage and extra-axial collections,uncertain,Intracranial Hemorrhage Burden,retain
outer_001_feature_341,ventricular_size,"[51, None, None, None, 56]",2,False,False,Other neuroimaging findings,exclude,Neuroimaging Characteristics,exclude
outer_001_feature_342,vertebral_metastasis_presence,"[37, 39, 66, None, 24]",4,False,False,Osseous metastatic involvement,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_343,vinorelbine_administered,"[56, None, None, None, 77]",2,False,False,Prior platinum chemotherapy exposure,retain,Treatment History Miscellaneous,exclude
outer_001_feature_344,visual_field_deficit,"[79, None, None, None, 81]",2,False,False,Pretreatment neurologic symptoms,retain,Patient Baseline and Comorbidities,exclude
outer_001_feature_345,vitamin_deficiency_anemia,"[59, None, 19, None, 85]",3,False,False,Other CBC abnormalities and marrow toxicity,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_346,vitamin_supplement_use,"[None, 35, None, None, None]",1,False,False,Other medications and treatment doses,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_347,weight,"[36, 94, None, None, 28]",3,False,False,Nutrition and body mass,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_348,wheezing_presence,"[None, None, None, 31, None]",1,False,False,Cough and wheezing,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_349,white_blood_cell_count,"[4, 11, 6, 66, 5]",5,True,True,Circulating leukocyte balance,retain,White Blood Cell Count,retain
outer_001_feature_350,who_grade,"[None, None, 98, None, 98]",2,False,False,Tumor differentiation and WHO grade,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_351,whole_brain_radiation_therapy,"[None, 67, 64, None, 60]",3,False,False,Prior radiation therapy,exclude,Radiation Therapy Burden,retain
outer_001_feature_352,zoledronic_acid_dose_frequency,"[None, None, None, 53, 32]",2,False,False,Bone-modifying treatment,uncertain,Patient Baseline and Comorbidities,exclude
